set 	title 'Candlesticks' font ',18'
set 	terminal wxt size 1300,600
set style line 5 lt rgb 'cyan' lw 5 pt 6
set style fill empty
plot '-' with financebars, '-' lw 1 lc rgb 'blue' with lines, '-' lw 1 lc rgb 'orange' with lines, '-' lw 1 lc rgb 'green' with lines
1583251200000 -0.9904756300635316 -0.9797631548297285 -1.0317015833854828 -1.0081319355397351
1583265600000 -1.0078579253996456 -0.9699552564598479 -1.0272222925814367 -0.997229674379507
1583280000000 -0.9980432337464142 -0.9276044917744285 -1.0070363451809001 -0.9281103086794973
1583294400000 -0.9283633131084243 -0.916290731874155 -0.9547717186924366 -0.9454621091744349
1583308800000 -0.9454621091744349 -0.9428914136713341 -0.9885926436295602 -0.9757753787090473
1583323200000 -0.9757753787090473 -0.8852766783449856 -0.9784321284120047 -0.9480394301887354
1583337600000 -0.9480394301887354 -0.9248270628964415 -0.958154935972854 -0.9464922406072764
1583352000000 -0.9467499393588635 -0.9185432669274488 -0.9573731769753849 -0.9342001524177229
1583366400000 -0.9352187417596739 -0.8915981192837836 -0.9367485737765512 -0.9140432593336758
1583380800000 -0.9140432593336758 -0.907083251123242 -0.9480394301887354 -0.9248270628964415
1583395200000 -0.9248270628964415 -0.9026344054266694 -0.9250792379072343 -0.9090668867848355
1583409600000 -0.908818717035454 -0.9063404010209869 -0.9503647122079065 -0.9357284257666302
1583424000000 -0.9357284257666302 -0.9306432380985556 -0.9464922406072764 -0.9362383696838511
1583438400000 -0.9372590383103514 -0.9362383696838511 -0.9794968077779476 -0.9702190738997107
1583452800000 -0.9720677473431534 -0.9704829609575819 -0.997229674379507 -0.9752448747178256
1583467200000 -0.9752448747178256 -0.9628583676904899 -0.9829648651421479 -0.9654809760649268
1583481600000 -0.9654809760649268 -0.9519179095173061 -0.9771028712709124 -0.9702190738997107
1583496000000 -0.9696915086012704 -0.9696915086012704 -1.018877320649256 -1.0089544167375744
1583510400000 -1.0106014113453965 -0.9904756300635316 -1.0114259269891936 -0.9964167763534401
1583524800000 -0.9964167763534401 -0.9856408100089483 -0.9996723408132061 -0.9856408100089483
1583539200000 -0.9853728930615988 -0.9618112471759644 -1.0199859682129202 -0.9999441168714084
1583553600000 -1.0010319603292457 -0.99344179106257 -1.011975982008563 -1.0043026091973684
1583568000000 -1.0051219455807707 -1.003756757655431 -1.0210958462402813 -1.0122511230200661
1583582400000 -1.0108761743640229 -1.0015763261565154 -1.025826618942462 -1.0133524447172864
1583596800000 -1.0139035607411555 -0.9969586349416099 -1.075286463364613 -1.0581423561143963
1583611200000 -1.060161102293857 -1.0475390184841091 -1.089454350883344 -1.0861897686695525
1583625600000 -1.0861897686695525 -1.0767529543152161 -1.1141321003261466 -1.1086626245216111
1583640000000 -1.1068460935952131 -1.0951183994138538 -1.1193253302656512 -1.0993125337825032
1583654400000 -1.0993125337825032 -1.0957164855560841 -1.1233149013084816 -1.1083596401229898
1583668800000 -1.1080567474961094 -1.1062413158326008 -1.1871156872595132 -1.1744140020843916
1583683200000 -1.1737669622688702 -1.1177951080848836 -1.2245157055572653 -1.161232650649777
1583697600000 -1.1615520884419839 -1.156771202841642 -1.2444476368916542 -1.236495996031496
1583712000000 -1.236495996031496 -1.2046396933136396 -1.2608959517255571 -1.2458370084246349
1583726400000 -1.2461846531352454 -1.2437536743377806 -1.33370191100072 -1.2662028808620702
1583740800000 -1.2665576795175573 -1.2358075278459544 -1.3012181887647714 -1.2935328810385796
1583755200000 -1.2913478838109371 -1.2623083813388996 -1.3870946812906597 -1.3394107752210402
1583769600000 -1.3394107752210402 -1.2917117186339429 -1.3700273886560186 -1.3119292791645838
1583784000000 -1.313043899380298 -1.2729656758128873 -1.3261404383001434 -1.2776193444942345
1583798400000 -1.274752986386983 -1.2375295878547787 -1.3001166648788383 -1.2729656758128873
1583812800000 -1.272608596716074 -1.2605431558143303 -1.2880793136229356 -1.2776193444942345
1583827200000 -1.2776193444942345 -1.21976349023226 -1.2833768271132042 -1.2303167796655379
1583841600000 -1.228948790396113 -1.208315553760073 -1.310815899943985 -1.3089630181835672
1583856000000 -1.3089630181835672 -1.23271527319159 -1.3093333199837622 -1.2330583852210326
1583870400000 -1.2330583852210326 -1.2320294021084612 -1.2722516450792305 -1.2658482080440236
1583884800000 -1.2630153449597195 -1.2423671923132475 -1.2697565448719392 -1.2598379371673314
1583899200000 -1.2570220254157516 -1.252113179653871 -1.2982834837971773 -1.2909841813155656
1583913600000 -1.2895306926875827 -1.274037678774223 -1.3272710206704297 -1.2909841813155656
1583928000000 -1.2909841813155656 -1.283016011666389 -1.3401744255063375 -1.3356012468043725
1583942400000 -1.33522109093589 -1.3023209273437122 -1.3907040696085906 -1.3023209273437122
1583956800000 -1.3052675224775172 -1.297551151285502 -1.3371233171134413 -1.3071135632454494
1583971200000 -1.305636458102436 -1.3041615315813684 -1.410587053688935 -1.4101773015832226
1583985600000 -1.410587053688935 -1.4085399700672103 -1.5123112017033775 -1.4889917593582331
1584000000000 -1.4903224315439383 -1.4623118475438066 -1.830084583549723 -1.7492748576218997
1584014400000 -1.7446850618421261 -1.6575782877620353 -1.8344582237611702 -1.6884811197745533
1584028800000 -1.6847003969346472 -1.6623114020411685 -1.7625890919282752 -1.7109170813839543
1584043200000 -1.7153541380256496 -1.7109170813839543 -2.0402208285265546 -2.007679175452945
1584057600000 -2.0039630805039303 -1.9303321190919949 -2.3454925940053224 -1.987774353154012
1584072000000 -1.987774353154012 -1.88321707971689 -2.0794415416798357 -1.8957875396521027
1584086400000 -1.8951219822232084 -1.7707810628428633 -1.926205565780978 -1.8740547119548852
1584100800000 -1.878625402249717 -1.7237270588362281 -2.0471679811295402 -1.9449106487222299
1584115200000 -1.946310229076653 -1.8997902134417601 -2.0907047339585465 -1.9484132792734319
1584129600000 -1.9477117710019414 -1.8325814637483102 -1.977607235798568 -1.8792800667575502
1584144000000 -1.8858503926276504 -1.7897614665653818 -1.915963072687361 -1.8146187633741377
1584158400000 -1.817077277212345 -1.8115540965562347 -1.888490658187827 -1.8727526284375868
1584172800000 -1.8682086413914611 -1.8578992717326 -1.938636665088815 -1.870153536656067
1584187200000 -1.8721022219105936 -1.8714522381373035 -1.9118952704680356 -1.8865098057738656
1584201600000 -1.8878299379787886 -1.79757635454962 -1.8937921947932066 -1.8257299887992084
1584216000000 -1.8220125123990758 -1.8220125123990758 -1.9379419794061366 -1.9152839555135526
1584230400000 -1.9139271032022627 -1.8792800667575502 -1.9317114296555002 -1.9017975744369924
1584244800000 -1.9031380572114442 -1.8643301620628905 -1.9044803392921736 -1.888490658187827
1584259200000 -1.888490658187827 -1.8572584514607506 -1.9051521565831457 -1.8721022219105936
1584273600000 -1.8721022219105936 -1.8502363989870307 -1.9310215365615626 -1.9118952704680356
1584288000000 -1.912572089444803 -1.8898134097034431 -1.9173226922034008 -1.9146052992269007
1584302400000 -1.915963072687361 -1.820158943749753 -1.9540431322855023 -1.9166426513747452
1584316800000 -1.9166426513747452 -1.9152839555135526 -1.9618362996055725 -1.9220959709560583
1584331200000 -1.9234639602254833 -1.9166426513747452 -2.0882804903470404 -2.0866675867715756
1584345600000 -2.0866675867715756 -2.034085839959039 -2.162823150618887 -2.137070654516472
1584360000000 -2.142168371588141 -2.0091694886945044 -2.153303390278291 -2.0310324024721482
1584374400000 -2.025711219258868 -2.0241960674538575 -2.111964733385396 -2.0907047339585465
1584388800000 -2.0882804903470404 -2.064355904261795 -2.111964733385396 -2.066722769272061
1584403200000 -2.0675129708145623 -1.9819519204025788 -2.0890879187316416 -2.0069348508930878
1584417600000 -2.006191079940243 -1.9491152800042617 -2.0409903553055835 -1.974001029221839
1584432000000 -1.9718435310818179 -1.9414202437824613 -2.019664337643975 -1.987774353154012
1584446400000 -1.9863155636903522 -1.977607235798568 -2.047942874620465 -1.981226494182881
1584460800000 -1.9790533676485675 -1.9540431322855023 -1.9914306643571225 -1.9718435310818179
1584475200000 -1.9668273973107016 -1.898454207899018 -1.9783300403114246 -1.973281345851445
1584489600000 -1.973281345851445 -1.9519282213808764 -1.9980459034758418 -1.9646853043816475
1584504000000 -1.9632597873904263 -1.9477117710019414 -2.0440743978425444 -2.0317948882124828
1584518400000 -2.0310324024721482 -2.0024805005437076 -2.0463936876336355 -2.022683207861227
1584532800000 -2.0219276354792295 -1.9754419516613513 -2.0635681925235456 -1.9899665352522333
1584547200000 -1.9906983318454474 -1.9870446924138683 -2.0241960674538575 -1.989235273793687
