open,high,low,close
44544,44549,43307,43873
43873,44164,40073,40515
40515,40959,39450,39974
39974,40444,39639,40079
40079,40125,38000,38386
38386,39494,36800,37008
37008,38429,36350,38230
38230,39249,37036,37250
37250,39843,34322,38327
38328,39683,38014,39219
39219,40348,38573,39116
39116,39855,37000,37699
37699,44225,37450,43160
43160,44949,42809,44421
44421,45400,43334,43892
43892,44101,41832,42454
42454,42527,38550,39148
39148,39613,38407,39397
39397,39693,38088,38420
38420,39547,37155,37988
37988,39362,37867,38730
38730,42594,38656,41941
41941,42039,38539,39422
39422,40236,38223,38729
38729,39486,38660,38807
38807,39310,37578,37777
37777,39947,37555,39671
39671,39887,38098,39280
39280,41718,38828,41114
41114,41478,40500,40917
40917,42325,40135,41757
41757,42400,41499,42201
42201,42296,40911,41262
41262,41544,40467,41002
41002,43361,40875,42364
42364,43025,41751,42882
42882,44220,42560,43991
43991,45094,43579,44313
44313,44792,44071,44511
44511,46999,44421,46827
46827,48189,46663,47122
47122,48096,46950,47434
47434,47700,46445,47067
47067,47600,45200,45510
45510,46720,44200,46283
46283,47213,45620,45811
45810,47444,45530,46407
46407,46890,45118,46580
46580,47200,45353,45497
45497,45507,43121,43170
43170,43900,42727,43444
43444,43970,42107,42252
42252,42800,42125,42753
42753,43410,41868,42158
42158,42414,39200,39530
39530,40699,39254,40074
40074,41561,39588,41147
41147,41500,39551,39942
39942,40870,39766,40551
40551,40709,39991,40378
40378,40595,39546,39678
39678,41116,38536,40801
40801,41760,40571,41493
41493,42199,40820,41358
41358,42976,39751,40480
40480,40795,39177,39709
39709,39980,39285,39441
39441,39940,38929,39450
39450,40616,38200,40426
40426,40797,37702,38112
38112,39474,37881,39235
39235,40372,38881,39742
39742,39925,38175,38596
38596,38795,37578,37630
37630,38675,37386,38468
38468,39167,38052,38525
38525,38651,37517,37728
37728,40023,37670,39690
39690,39845,35571,36552
36552,36675,35258,36013
36013,36146,34785,35472
35472,35514,33713,34038
34038,34243,30033,30076
30074,32658,29730,31017
31017,32162,27785,29103
29103,30243,26700,29029
29029,31083,28751,29287
29287,30343,28630,30086
30086,31460,29480,31328
31328,31328,29087,29874
29874,30788,29450,30444
30444,30709,28654,28715
28715,30545,28691,30319
30319,30777,28730,29201
29201,29656,28947,29445
29445,30487,29255,30293
30293,30670,28866,29109
29109,29845,28669,29654
29654,30223,29294,29542
29542,29886,28019,29201
29201,29397,28282,28629
28629,29266,28450,29031
29031,29587,28839,29468
29468,32222,29299,31734
31734,32399,31200,31801
31801,31982,29301,29805
29805,30689,29594,30452
30452,30699,29282,29700
29700,29988,29485,29864
29864,30189,29531,29919
29919,31765,29890,31373
31373,31589,29218,31125
31125,31327,29843,30204
30204,30700,29944,30109
30109,30382,28850,29091
29091,29440,28099,28424
28424,28544,26560,26574
26574,26895,21925,22487
22485,23362,20846,22136
22136,22800,20111,22583
22583,22995,20232,20401
20400,21365,20246,20468
20468,20792,17622,18970
18970,20815,17960,20574
20574,21090,19637,20573
20573,21723,20348,20723
20723,20900,19770,19987
19988,21233,19890,21110
21110,21558,20736,21237
21237,21614,20906,21491
21491,21888,20964,21038
21038,21539,20510,20742
20742,21212,20202,20281
20281,20432,19854,20123
20123,20179,18626,19942
19942,20918,18975,19279
19279,19467,18977,19252
19252,19647,18781,19315
19315,20354,19055,20236
20236,20750,19304,20175
20175,20675,19761,20564
20564,21838,20251,21624
21624,22527,21189,21594
21594,21980,21322,21591
21592,21607,20655,20862
20861,20868,19875,19963
19963,20059,19240,19328
19331,20366,18910,20234
20234,20900,19616,20588
20588,21200,20382,20830
20830,21588,20478,21195
21195,21684,20750,20798
20799,22777,20762,22432
22432,23800,21579,23396
23398,24276,22906,23223
23223,23442,22341,23152
23152,23756,22500,22684
22684,23000,21934,22451
22448,23014,22257,22579
22577,22666,21250,21310
21310,21347,20706,21254
21254,23112,21042,22952
22954,24199,22582,23842
23845,24442,23414,23773
23777,24668,23502,23643
23644,24194,23227,23293
23296,23509,22850,23268
23266,23459,22654,22987
22985,23647,22681,22818
22816,23223,22400,22622
22622,23472,22586,23312
23313,23354,22909,22954
22954,23402,22844,23174
23174,24245,23154,23810
23810,23933,22865,23149
23151,24226,22664,23954
23954,24918,23852,23934
23933,24456,23583,24403
24401,24888,24291,24441
24443,25047,24144,24305
24305,25211,23773,24094
24093,24247,23671,23854
23856,24446,23180,23342
23342,23600,23111,23191
23191,23208,20783,20834
20834,21382,20761,21140
21140,21800,21069,21515
21516,21548,20890,21399
21400,21684,20890,21529
21529,21900,21145,21368
21368,21819,21310,21559
21559,21886,20107,20241
20239,20402,19800,20037
20037,20171,19520,19555
19555,20433,19550,20285
20287,20576,19540,19811
19813,20490,19797,20050
20048,20208,19565,20131
20132,20441,19755,19951
19950,20055,19652,19831
19832,20029,19583,20000
20000,20057,19633,19796
19795,20180,18649,18790
18790,19464,18510,19292
19292,19458,19012,19319
19320,21597,19291,21360
21361,21810,21111,21648
21647,21860,21350,21826
21826,22488,21538,22395
22395,22799,19860,20173
20173,20541,19617,20226
20227,20330,19497,19701
19701,19890,19320,19803
19803,20189,19748,20113
20112,20117,19335,19416
19417,19686,18232,19537
19537,19634,18711,18875
18874,19956,18125,18461
18461,19550,18356,19401
19401,19500,18531,19289
19288,19316,18805,18920
18921,19180,18629,18807
18809,19318,18680,19227
19226,20385,18816,19079
19078,19790,18471,19412
19412,19645,18843,19591
19590,20185,19155,19422
19422,19484,19159,19310
19312,19395,18920,19056
19057,19719,18959,19629
19629,20475,19490,20337
20337,20365,19730,20158
20158,20456,19853,19960
19960,20068,19320,19530
19530,19627,19237,19417
19416,19558,19316,19439
19439,19525,19020,19131
19131,19268,18860,19060
19060,19238,18965,19155
19155,19513,18190,19375
19375,19951,19070,19176
19176,19227,18975,19069
19068,19425,19063,19262
19262,19676,19152,19549
19548,19706,19091,19327
19327,19360,19065,19123
19123,19347,18900,19041
19041,19250,18650,19164
19164,19257,19112,19204
19204,19695,19070,19570
19570,19601,19157,19329
19330,20415,19237,20080
20079,21020,20050,20771
20771,20872,20200,20295
20295,20750,20000,20591
20591,21085,20554,20809
20809,20931,20515,20627
20627,20845,20237,20490
20490,20700,20330,20483
20482,20800,20048,20151
20151,20393,20031,20207
20207,21302,20180,21148
21148,21480,21080,21299
21299,21365,20886,20905
20905,21069,20384,20591
20590,20700,17166,18547
18545,18587,15588,15922
15922,18199,15754,17601
17602,17695,16361,17070
17069,17119,16631,16812
16813,16954,16229,16329
16331,17190,15815,16619
16617,17134,16527,16900
16900,17015,16378,16662
16661,16751,16410,16692
16692,17011,16546,16700
16699,16822,16553,16700
16700,16753,16180,16280
16279,16319,15476,15781
15781,16315,15616,16226
16227,16706,16160,16603
16603,16812,16458,16598
16599,16666,16342,16522
16521,16701,16385,16458
16457,16600,16401,16428
16428,16487,15995,16212
16212,16548,16100,16442
16442,17249,16428,17163
17165,17324,16855,16977
16978,17105,16787,17092
17092,17188,16858,16885
16885,17202,16878,17105
17106,17424,16867,16966
16966,17107,16906,17088
17088,17142,16678,16836
16836,17299,16733,17224
17224,17360,17058,17128
17128,17227,17092,17127
17127,17270,17071,17085
17085,17241,16871,17209
17208,18000,17080,17774
17775,18387,17660,17803
17804,17854,17275,17356
17356,17531,16527,16632
16631,16796,16579,16776
16777,16863,16663,16738
16739,16815,16256,16438
16438,17061,16397,16895
16896,16925,16723,16824
16824,16868,16559,16821
16821,16955,16731,16778
16778,16869,16776,16836
16835,16857,16721,16832
16832,16944,16791,16919
16919,16972,16592,16706
16706,16785,16465,16547
16547,16664,16488,16633
16633,16677,16333,16607
16607,16644,16470,16542
16541,16628,16499,16616
16617,16799,16548,16672
16672,16778,16605,16675
16675,16991,16652,16850
16850,16879,16753,16831
16831,17041,16679,16950
16950,16981,16908,16943
16943,17176,16911,17127
17127,17398,17104,17178
17179,17499,17146,17440
17440,18000,17315,17943
17943,19117,17892,18846
18846,20000,18714,19930
19930,21258,19888,20954
20952,21050,20551,20871
20872,21474,20611,21185
21185,21647,20841,21134
21132,21650,20407,20677
20677,21192,20659,21071
21071,22755,20861,22667
22666,23371,22422,22783
22783,23078,22292,22707
22706,23180,22500,22916
22917,23162,22462,22632
22631,23816,22300,23060
23060,23282,22850,23009
23009,23500,22534,23074
23074,23189,22878,23022
23021,23960,22967,23742
23743,23800,22500,22826
22827,23320,22714,23125
23125,23812,22760,23732
23731,24255,23363,23488
23489,23715,23204,23431
23431,23587,23253,23326
23327,23433,22743,22932
22932,23158,22628,22762
22762,23350,22745,23240
23242,23452,22665,22963
22961,23011,21688,21796
21797,21938,21451,21625
21625,21906,21599,21862
21862,22090,21630,21783
21782,21894,21351,21773
21774,22319,21532,22199
22199,24380,22047,24324
24322,25250,23505,23517
23517,25021,23339,24569
24568,24877,24430,24631
24632,25192,24192,24271
24272,25121,23840,24842
24843,25250,24148,24452
24450,24476,23574,24182
24182,24599,23608,23940
23940,24132,22841,23185
23184,23219,22722,23157
23157,23689,23059,23554
23554,23897,23106,23492
23492,23600,23020,23141
23141,24000,23020,23628
23629,23796,23195,23465
23465,23476,21971,22354
22354,22410,22157,22346
22346,22662,22189,22430
22430,22602,22258,22410
22409,22557,21927,22197
22198,22287,21580,21705
21704,21834,20042,20362
20362,20367,19549,20150
20150,20686,19765,20455
20455,22150,20270,21997
21998,24500,21813,24113
24112,26386,23976,24670
24670,25196,23896,24285
24285,25167,24123,24998
24998,27756,24890,27395
